id,pun,tags,attribution
111,"Pesepakbola yang pernah muncul di anime shojo

Firman Utena","anime, sepakbola",
112,"Pesepakbola yang suka makan kulit buah manggis

Lionel Mastin",sepakbola,
113,"Pokemon yang bentuknya anjing asal Jerman

Arcanein",pokemon,
114,"Pokemon yang bisa dipakai ujian

Pinsir 2B",pokemon,
115,"Pokemon yang bisa ngelenong Betawi

Charmandra",pokemon,
116,"Pokemon yang dibesarkan oleh keluarga sultan

Grow-elite",pokemon,dragseal
117,"Pokemon yang ga langsing?

Geondude",pokemon,signore.farid
118,"Pokemon yang jadi meme

Om Venonet Om","pokemon
",
119,"Pokemon yang kalau dimakan rasanya asem

Bulbasour",pokemon,
120,"Pokemon yang malu-malu

Charminder",pokemon,
121,"Pokemon yang punya perusahaan alat2 kamar mandi

Toto-dile",pokemon,dragseal
122,"Presiden kedua Republik Indonesia

Soehartwo",presiden,
123,"Seiyuu yang mahal

Yukari Takmurah",seiyuu,
124,"Seiyuu yang suka berandai-andai

Kana Asumsi",seiyuu,
125,"Selat yang banyak tumbuhan karnivora

Selat Sundew","botani
",
126,"Serial anime robot-robotan tentang kegalauan orang Indonesia

Budi Complex","anime, robot",
127,"Serial anime tentang anak-anak SMA lulus 2 tahun

Aksel World","anime, LN",
128,"Serial anime tentang bincang-bincang tengah malam

Letterman Night",anime,
129,"Serial anime tentang detektif unggas

Kindaichi Shounen no Chicken
","serial, anime, manga, ayam
",
130,"Serial anime tentang kelompok pahlawan yang suka mobile game

Gachaman Crowds","anime, gacha",
131,"Serial anime tentang kematian tapi berbahaya

Death Parahdeh
","anime
",
132,"Serial anime tentang kucing naik robot

Meong Genesis Evangelion","kucing, anime",
133,"Serial anime tentang kucing pengembara.

Kino no Tabby","kucing, anime, novel",
134,"Serial anime tentang mahou shoujo dari Bali

Princess Betutu","anime, kuliner",
135,"Serial anime tentang taman bermain yang membuat kecanduan

Ahnagih Brilliant Park","anime, LN",
136,"Serial anime tentang tukang roti

Bakerymonogatari","anime, LN",
137,"Serial anime yang biasa dipakai di linux

guilty chown","anime, linux",
138,"Serial anime yang ceritanya bagus

Nicemonogatari","anime, novel
",
139,"Serial anime yang ditonton lulusan Teknik Elektro

Flip Floppers","programmer, insinyur, anime",
140,"Serial anime yang judulnya dibedakan khusus di Tiongkok

Subete ga F ni Naru

Versi Tiongkok judulnya jadi Subete ga A ni Naru","anime, tiongkok",
141,"Serial tentang lima pahlawan warna-warni yang cepat marah

Power Angers","tokusatsu, power rangers",
142,"Stasiun televisi yang jadi satuan internasional

Meter TV",TV,
143,"Striker Inggris yang bikin badai gol

Hurri Cane","sepakbola, badai",
